Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,22:23:34.259,Long Strafe Bot,ADSable Hitscan Cone,2.018000s,1121,554,0.494202,507.000000,1020.000000,0.497059,0,122
2,22:23:36.714,Long Strafe Bot,ADSable Hitscan Cone,2.200000s,1220,545,0.446721,505.000000,1110.000000,0.454955,0,133
3,22:23:39.516,Long Strafe Bot,ADSable Hitscan Cone,2.541000s,1407,556,0.395167,508.000000,1280.000000,0.396875,0,133
4,22:23:41.676,Long Strafe Bot,ADSable Hitscan Cone,1.902000s,978,548,0.560327,503.000000,890.000000,0.565169,0,133
5,22:23:43.365,Long Strafe Bot,ADSable Hitscan Cone,1.439000s,802,528,0.658354,501.000000,730.000000,0.686301,0,126
6,22:23:45.635,Long Strafe Bot,ADSable Hitscan Cone,2.020000s,1117,504,0.451209,504.000000,1016.000000,0.496063,0,133
7,22:23:47.596,Long Strafe Bot,ADSable Hitscan Cone,1.701000s,945,551,0.583069,509.000000,860.000000,0.591860,0,133
8,22:23:51.065,Long Strafe Bot,ADSable Hitscan Cone,3.439000s,1902,807,0.424290,807.000000,1730.000000,0.466474,0,1
9,22:23:51.905,Long Strafe Bot,ADSable Hitscan Cone,0.639000s,362,199,0.549724,199.000000,330.000000,0.603030,0,100
10,22:23:54.954,Long Strafe Bot,ADSable Hitscan Cone,2.799000s,1550,547,0.352903,501.000000,1410.000000,0.355319,0,133
11,22:23:58.474,Long Strafe Bot,ADSable Hitscan Cone,3.259000s,1803,605,0.335552,558.000000,1640.000000,0.340244,0,133
12,22:24:01.356,Long Strafe Bot,ADSable Hitscan Cone,2.619000s,1451,541,0.372846,532.000000,1320.000000,0.403030,0,133
13,22:24:03.155,Long Strafe Bot,ADSable Hitscan Cone,1.539000s,857,458,0.534422,421.000000,780.000000,0.539744,0,133
14,22:24:06.276,Long Strafe Bot,ADSable Hitscan Cone,2.860000s,1583,500,0.315856,500.000000,1440.000000,0.347222,0,133
15,22:24:08.435,Long Strafe Bot,ADSable Hitscan Cone,1.900000s,1055,552,0.523223,509.000000,960.000000,0.530208,0,133
16,22:24:10.355,Long Strafe Bot,ADSable Hitscan Cone,1.660000s,923,542,0.587216,504.000000,840.000000,0.600000,0,133
17,22:24:13.216,Long Strafe Bot,ADSable Hitscan Cone,2.600000s,1440,554,0.384722,506.000000,1310.000000,0.386260,0,133
18,22:24:15.104,Long Strafe Bot,ADSable Hitscan Cone,1.659000s,923,531,0.575298,500.000000,840.000000,0.595238,0,111
19,22:24:17.416,Long Strafe Bot,ADSable Hitscan Cone,2.062000s,1143,523,0.457568,507.000000,1040.000000,0.487500,0,133
20,22:24:20.535,Long Strafe Bot,ADSable Hitscan Cone,2.858000s,1583,500,0.315856,500.000000,1440.000000,0.347222,0,133
21,22:24:23.104,Long Strafe Bot,ADSable Hitscan Cone,2.541000s,1407,502,0.356788,502.000000,1280.000000,0.392188,0,10
22,22:24:25.126,Long Strafe Bot,ADSable Hitscan Cone,1.801000s,991,535,0.539859,508.000000,901.000000,0.563818,0,117
23,22:24:27.717,Long Strafe Bot,ADSable Hitscan Cone,2.339000s,1291,505,0.391170,505.000000,1174.000000,0.430153,0,133
24,22:24:29.915,Long Strafe Bot,ADSable Hitscan Cone,1.940000s,1077,552,0.512535,505.000000,980.000000,0.515306,0,133
25,22:24:32.845,Long Strafe Bot,ADSable Hitscan Cone,2.819000s,1561,514,0.329276,514.000000,1420.000000,0.361972,0,45
26,22:24:35.196,Long Strafe Bot,ADSable Hitscan Cone,2.100000s,1165,539,0.462661,501.000000,1060.000000,0.472641,0,133
27,22:24:38.376,Long Strafe Bot,ADSable Hitscan Cone,2.919000s,1616,541,0.334777,504.000000,1470.000000,0.342857,0,133
28,22:24:39.956,Long Strafe Bot,ADSable Hitscan Cone,1.321000s,736,547,0.743207,500.000000,670.000000,0.746269,0,133
29,22:24:42.655,Long Strafe Bot,ADSable Hitscan Cone,2.440000s,1352,504,0.372781,504.000000,1230.000000,0.409756,0,133
30,22:24:45.594,Long Strafe Bot,ADSable Hitscan Cone,2.680000s,1484,506,0.340970,506.000000,1350.000000,0.374815,0,133
31,22:24:48.537,Long Strafe Bot,ADSable Hitscan Cone,2.680000s,1484,543,0.365903,500.000000,1350.000000,0.370370,0,133
32,22:24:51.454,Long Strafe Bot,ADSable Hitscan Cone,2.659000s,1473,548,0.372030,504.000000,1340.000000,0.376119,0,133
33,22:24:53.964,Long Strafe Bot,ADSable Hitscan Cone,2.260000s,1253,548,0.437350,506.000000,1140.000000,0.443860,0,124
34,22:24:56.395,Long Strafe Bot,ADSable Hitscan Cone,2.181000s,1207,553,0.458161,503.000000,1098.000000,0.458106,0,133
35,22:24:59.298,Long Strafe Bot,ADSable Hitscan Cone,2.640000s,1462,504,0.344733,504.000000,1330.000000,0.378947,0,133
36,22:25:01.205,Long Strafe Bot,ADSable Hitscan Cone,1.659000s,923,541,0.586132,502.000000,840.000000,0.597619,0,124

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale,Avg Target Scale,Avg Time Dilation
ADSable Hitscan Cone,44909,19218,18237.0,40857.0,

Kills:,36
Deaths:,0
Fight Time:,80.693001
Time Remaining:,0.0
Avg TTK:,2.49954
Damage Done:,18237.0
Total Overshots:,4338
Damage Taken:,0.0
Hit Count:,19218
Miss Count:,25691
Midairs:,274
Midaired:,0
Directs:,981
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,8140.29834
Scenario:,Ascended Tracking v3
Hash:,46026d159b844451a38af3608d7c9e8a
Game Version:,3.9.1.2026-05-06-17-06-54-4967be094932
Challenge Start:,22:23:31.686
Pause Count:,0
Pause Duration:,0
Avg Target Scale:,1.0
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.22773
Horiz Sens:,0.22786
Vert Sens:,0.22786
DPI:,1600
FOV:,103.0
FOVScale:,Overwatch
Hide Gun:,false
Crosshair:,rxSmallCross.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,523.140625
Resolution Scale:,100.0
