Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,04:53:21.843,Quaker Bot Long Strafes,LG,0.782000s,80,20,0.250000,100.000000,400.000000,0.250000,0,25
2,04:53:22.582,Quaker Bot Long Strafes,LG,0.480000s,49,21,0.428571,105.000000,245.000000,0.428571,0,25
3,04:53:23.273,Quaker Bot Long Strafes,LG,0.430000s,44,22,0.500000,110.000000,220.000000,0.500000,0,25
4,04:53:23.943,Quaker Bot Long Strafes,LG,0.409000s,42,20,0.476190,100.000000,210.000000,0.476190,0,25
5,04:53:24.501,Quaker Bot Long Strafes,LG,0.301000s,31,21,0.677419,105.000000,155.000000,0.677419,0,24
6,04:53:25.033,Quaker Bot Long Strafes,LG,0.280000s,29,22,0.758621,110.000000,145.000000,0.758621,0,25
7,04:53:25.513,Quaker Bot Long Strafes,LG,0.220000s,23,20,0.869565,100.000000,115.000000,0.869565,0,25
8,04:53:26.832,Quaker Bot Long Strafes,LG,1.060000s,107,44,0.411215,220.000000,535.000000,0.411215,0,25
9,04:53:27.343,Quaker Bot Long Strafes,LG,0.252000s,26,8,0.307692,40.000000,130.000000,0.307692,0,25
10,04:53:28.032,Quaker Bot Long Strafes,LG,0.431000s,44,20,0.454545,100.000000,220.000000,0.454545,0,25
11,04:53:30.024,Quaker Bot Long Strafes,LG,1.731000s,174,39,0.224138,195.000000,870.000000,0.224138,0,25
12,04:53:30.562,Quaker Bot Long Strafes,LG,0.280000s,29,18,0.620690,90.000000,145.000000,0.620690,0,25
13,04:53:31.774,Quaker Bot Long Strafes,LG,0.951000s,96,42,0.437500,210.000000,480.000000,0.437500,0,25
14,04:53:32.313,Quaker Bot Long Strafes,LG,0.280000s,29,10,0.344828,50.000000,145.000000,0.344828,0,25
15,04:53:33.272,Quaker Bot Long Strafes,LG,0.698000s,71,22,0.309859,110.000000,355.000000,0.309859,0,25
16,04:53:33.792,Quaker Bot Long Strafes,LG,0.260000s,27,21,0.777778,105.000000,135.000000,0.777778,0,24
17,04:53:34.422,Quaker Bot Long Strafes,LG,0.380000s,39,22,0.564103,110.000000,195.000000,0.564103,0,25
18,04:53:35.111,Quaker Bot Long Strafes,LG,0.432000s,44,20,0.454545,100.000000,220.000000,0.454545,0,25
19,04:53:35.701,Quaker Bot Long Strafes,LG,0.332000s,34,20,0.588235,100.000000,170.000000,0.588235,0,25
20,04:53:36.251,Quaker Bot Long Strafes,LG,0.289000s,30,20,0.666667,100.000000,150.000000,0.666667,0,25
21,04:53:36.912,Quaker Bot Long Strafes,LG,0.429000s,44,22,0.500000,110.000000,220.000000,0.500000,0,21
22,04:53:37.433,Quaker Bot Long Strafes,LG,0.269000s,28,21,0.750000,105.000000,140.000000,0.750000,0,25
23,04:53:37.884,Quaker Bot Long Strafes,LG,0.190000s,20,20,1.000000,100.000000,100.000000,1.000000,0,25
24,04:53:38.431,Quaker Bot Long Strafes,LG,0.290000s,30,21,0.700000,105.000000,150.000000,0.700000,0,25
25,04:53:38.883,Quaker Bot Long Strafes,LG,0.190000s,20,20,1.000000,100.000000,100.000000,1.000000,0,25
26,04:53:40.324,Quaker Bot Long Strafes,LG,1.181000s,119,40,0.336134,200.000000,595.000000,0.336134,0,25
27,04:53:40.873,Quaker Bot Long Strafes,LG,0.290000s,30,10,0.333333,50.000000,150.000000,0.333333,0,25
28,04:53:41.643,Quaker Bot Long Strafes,LG,0.510000s,52,22,0.423077,110.000000,260.000000,0.423077,0,25
29,04:53:42.332,Quaker Bot Long Strafes,LG,0.430000s,44,22,0.500000,110.000000,220.000000,0.500000,0,25
30,04:53:42.782,Quaker Bot Long Strafes,LG,0.189000s,20,20,1.000000,100.000000,100.000000,1.000000,0,25
31,04:53:43.402,Quaker Bot Long Strafes,LG,0.360000s,37,21,0.567568,105.000000,185.000000,0.567568,0,25
32,04:53:43.911,Quaker Bot Long Strafes,LG,0.261000s,27,20,0.740741,100.000000,135.000000,0.740741,0,23
33,04:53:44.352,Quaker Bot Long Strafes,LG,0.190000s,20,20,1.000000,100.000000,100.000000,1.000000,0,25
34,04:53:44.923,Quaker Bot Long Strafes,LG,0.370000s,38,21,0.552632,105.000000,190.000000,0.552632,0,18
35,04:53:45.362,Quaker Bot Long Strafes,LG,0.189000s,20,20,1.000000,100.000000,100.000000,1.000000,0,25
36,04:53:46.001,Quaker Bot Long Strafes,LG,0.380000s,39,20,0.512821,100.000000,195.000000,0.512821,0,25
37,04:53:46.661,Quaker Bot Long Strafes,LG,0.408000s,42,22,0.523810,110.000000,210.000000,0.523810,0,23
38,04:53:47.323,Quaker Bot Long Strafes,LG,0.410000s,42,23,0.547619,115.000000,210.000000,0.547619,0,25
39,04:53:48.183,Quaker Bot Long Strafes,LG,0.600000s,61,21,0.344262,105.000000,305.000000,0.344262,0,25
40,04:53:48.793,Quaker Bot Long Strafes,LG,0.351000s,36,20,0.555556,100.000000,180.000000,0.555556,0,25
41,04:53:49.412,Quaker Bot Long Strafes,LG,0.358000s,37,20,0.540541,100.000000,185.000000,0.540541,0,25
42,04:53:50.122,Quaker Bot Long Strafes,LG,0.571000s,58,20,0.344828,100.000000,290.000000,0.344828,0,12
